epoch,acc,f1_score,loss,precision,recall,val_acc,val_f1_score,val_loss,val_precision,val_recall
0,0.15268369019031525,"""[0.0, 0.14774774, 0.078175895, 0.21308017, 0.23394495, 0.07220217, 0.10671936, 0.0, 0.0, 0.0]""",20.54575538635254,0.0,0.0,0.25233644247055054,"""[0.0, 0.0, 0.0, 0.0, 0.40298504, 0.0, 0.0, 0.0, 0.0, 0.0]""",12.818280220031738,0.0,0.0
1,0.18447108566761017,"""[0.0, 0.16151203, 0.0, 0.21638016, 0.2882883, 0.05904059, 0.108474575, 0.0, 0.0, 0.0]""",10.253695487976074,0.19636884331703186,0.2141740471124649,0.25233644247055054,"""[0.0, 0.0, 0.0, 0.0, 0.40298504, 0.0, 0.0, 0.0, 0.0, 0.0]""",6.575067520141602,0.4193548262119293,0.3037383258342743
2,0.215216264128685,"""[0.0, 0.19047621, 0.0, 0.29974163, 0.28801432, 0.046332046, 0.10526316, 0.0, 0.0, 0.0]""",5.648828029632568,0.2107856571674347,0.4012506604194641,0.28037384152412415,"""[0.0, 0.0, 0.0, 0.18181817, 0.48421052, 0.0, 0.0, 0.0, 0.0, 0.0]""",4.261320114135742,0.4354838728904724,0.5046728849411011
3,0.24596144258975983,"""[0.0, 0.35, 0.008438819, 0.30033, 0.30939227, 0.04255319, 0.077192985, 0.0, 0.0, 0.0]""",4.069633960723877,0.21778447926044464,0.45179781317710876,0.43457943201065063,"""[0.0, 0.75000006, 0.0, 0.33532932, 0.64102566, 0.0, 0.0, 0.0, 0.0, 0.0]""",3.553881883621216,0.43853819370269775,0.6168224215507507
4,0.3163105845451355,"""[0.0, 0.4864865, 0.016528927, 0.36751434, 0.37161532, 0.09090909, 0.14457831, 0.0, 0.0, 0.0]""",3.643881320953369,0.22053726017475128,0.5304846167564392,0.5794392228126526,"""[0.0, 0.78260875, 0.0, 0.65071774, 0.7037037, 0.0, 0.0, 0.0, 0.0, 0.0]""",3.3548738956451416,0.356783926486969,0.663551390171051
5,0.38405418395996094,"""[0.0, 0.5618632, 0.041666668, 0.46165192, 0.4334365, 0.04464286, 0.102803744, 0.0, 0.0, 0.0]""",3.4892117977142334,0.22466538846492767,0.6122980713844299,0.6028037667274475,"""[0.0, 0.68, 0.0, 0.66326535, 0.8034188, 0.0, 0.0, 0.0, 0.0, 0.0]""",3.1767520904541016,0.4307228922843933,0.6682242751121521
6,0.4283480942249298,"""[0.0, 0.62027234, 0.033755276, 0.50860137, 0.47572815, 0.054298643, 0.19383259, 0.0, 0.0, 0.0]""",3.338277578353882,0.22994349896907806,0.6362689137458801,0.663551390171051,"""[0.0, 0.7916667, 0.0, 0.74444443, 0.75590545, 0.0, 0.8, 0.0, 0.0, 0.0]""",2.9410791397094727,0.38359788060188293,0.677570104598999
7,0.4815007746219635,"""[0.0, 0.61584455, 0.016666668, 0.59891385, 0.5504407, 0.055813953, 0.34538153, 0.0, 0.0, 0.0]""",3.0649352073669434,0.22926488518714905,0.6842105388641357,0.6355140209197998,"""[0.0, 0.6938776, 0.0, 0.71356785, 0.7238095, 0.0, 0.90909094, 0.0, 0.0, 0.0]""",2.673664093017578,0.37530267238616943,0.7242990732192993
8,0.5190203189849854,"""[0.0, 0.67045456, 0.04878049, 0.62711865, 0.5753695, 0.046728976, 0.42016804, 0.0, 0.0, 0.0]""",2.7783091068267822,0.22944973409175873,0.7040125131607056,0.6261682510375977,"""[0.0, 0.6938776, 0.0, 0.72906405, 0.65346533, 0.0, 0.90909094, 0.0, 0.0, 0.0]""",2.48691463470459,0.3263157904148102,0.7242990732192993
9,0.5758207440376282,"""[0.0, 0.6998577, 0.09411765, 0.72017676, 0.6020202, 0.071428575, 0.4416667, 0.0, 0.0, 0.0]""",2.5053837299346924,0.2237010896205902,0.7269411087036133,0.644859790802002,"""[0.0, 0.64, 0.0, 0.751445, 0.7642276, 0.0, 0.6896552, 0.0, 0.0, 0.0]""",2.3580141067504883,0.3738095164299011,0.7336448431015015
10,0.5831162333488464,"""[0.0, 0.7163324, 0.077220075, 0.71806496, 0.630817, 0.11483254, 0.5095057, 0.0, 0.0, 0.0]""",2.4185285568237305,0.22951605916023254,0.7488275170326233,0.672897219657898,"""[0.0, 0.65384614, 0.12903225, 0.75132287, 0.8, 0.0, 0.90909094, 0.0, 0.0, 0.0]""",2.332681655883789,0.32600000500679016,0.7616822719573975
11,0.6154246926307678,"""[0.0, 0.72268915, 0.25964913, 0.74281275, 0.6701791, 0.15023474, 0.5192982, 0.0, 0.0, 0.0]""",2.303269386291504,0.2398328185081482,0.7774882912635803,0.7009345889091492,"""[0.0, 0.7083334, 0.5365854, 0.7634409, 0.79611653, 0.0, 0.8, 0.0, 0.0, 0.0]""",2.2565789222717285,0.348008394241333,0.7757009267807007
12,0.6446065902709961,"""[0.0, 0.75744677, 0.40514472, 0.76841307, 0.702407, 0.12264151, 0.49264705, 0.0, 0.0, 0.0]""",2.2398672103881836,0.23803642392158508,0.8035435080528259,0.6915887594223022,"""[0.0, 0.75, 0.46153843, 0.74033153, 0.7787611, 0.0, 0.8695652, 0.0, 0.0, 0.0]""",2.263512372970581,0.3625498116016388,0.8504672646522522
13,0.6717039942741394,"""[0.0, 0.7959479, 0.3521127, 0.7745665, 0.74154854, 0.16113745, 0.55038756, 0.0, 0.0, 0.0]""",2.1090900897979736,0.2412346452474594,0.83897864818573,0.7009345889091492,"""[0.0, 0.79069763, 0.59090906, 0.7636364, 0.75200003, 0.0, 0.7407408, 0.0, 0.0, 0.0]""",2.062286138534546,0.38163265585899353,0.8738317489624023
14,0.6868160367012024,"""[0.0, 0.82511204, 0.47468355, 0.78843224, 0.7537473, 0.23744293, 0.5182482, 0.0, 0.0, 0.0]""",2.0699501037597656,0.24285072088241577,0.8452318906784058,0.7336448431015015,"""[0.0, 0.7234043, 0.59090906, 0.78723407, 0.79591835, 0.27586207, 0.90909094, 0.0, 0.0, 0.0]""",2.316293954849243,0.31350481510162354,0.9112149477005005
15,0.7165189981460571,"""[0.0, 0.78223497, 0.52662724, 0.8204357, 0.7765487, 0.30508474, 0.6130268, 0.0, 0.0, 0.0]""",1.9299800395965576,0.239556685090065,0.8785825967788696,0.7663551568984985,"""[0.0, 0.79999995, 0.7307692, 0.7954545, 0.8333333, 0.27586207, 0.8695652, 0.0, 0.0, 0.0]""",2.0710673332214355,0.3427561819553375,0.9065420627593994
16,0.7446586489677429,"""[0.0, 0.820059, 0.5964912, 0.8335855, 0.81449896, 0.33043477, 0.6215139, 0.0, 0.0, 0.0]""",1.8416749238967896,0.24384306371212006,0.8874413967132568,0.7383177280426025,"""[0.0, 0.7555555, 0.54545456, 0.76502734, 0.83495146, 0.38709676, 0.90909094, 0.0, 0.0, 0.0]""",2.225381851196289,0.31308412551879883,0.9392523169517517
17,0.7764460444450378,"""[0.0, 0.85106385, 0.64533335, 0.85929275, 0.8340807, 0.44813275, 0.67153287, 0.0, 0.0, 0.0]""",1.7280477285385132,0.24546083807945251,0.9228764772415161,0.7383177280426025,"""[0.0, 0.7234043, 0.5833333, 0.78106505, 0.8363637, 0.34482756, 0.8, 0.0, 0.0, 0.0]""",2.007511615753174,0.3344709873199463,0.9158878326416016
18,0.7811360359191895,"""[0.0, 0.8071217, 0.6628572, 0.85438335, 0.8418658, 0.5931559, 0.6518519, 0.0, 0.0, 0.0]""",1.6729459762573242,0.24162614345550537,0.9322564005851746,0.7429906725883484,"""[0.0, 0.8095238, 0.6382978, 0.7777778, 0.815534, 0.29411766, 0.90909094, 0.0, 0.0, 0.0]""",1.9980095624923706,0.3327786922454834,0.9345794320106506
19,0.8134444952011108,"""[0.0, 0.84969324, 0.70229006, 0.8828006, 0.8694691, 0.5681818, 0.73962265, 0.0, 0.0, 0.0]""",1.5790411233901978,0.2430107593536377,0.9421573877334595,0.7757009267807007,"""[0.0, 0.79069763, 0.7199999, 0.79347825, 0.8333333, 0.4848485, 0.90909094, 0.0, 0.0, 0.0]""",2.177187442779541,0.2939438819885254,0.9299065470695496
20,0.8092756867408752,"""[0.0, 0.8489425, 0.70866144, 0.87547165, 0.8625698, 0.5475285, 0.738806, 0.0, 0.0, 0.0]""",1.5378668308258057,0.24559977650642395,0.9452840089797974,0.8130841255187988,"""[0.0, 0.9, 0.77777773, 0.8242424, 0.84112144, 0.57894737, 0.9166667, 0.0, 0.0, 0.0]""",1.7613497972488403,0.3430531620979309,0.9345794320106506
