epoch,acc,f1_score,loss,precision,recall,val_acc,val_f1_score,val_loss,val_precision,val_recall
0,0.2358381450176239,"""[0.31184056, 0.12249444, 0.13443395, 0.26825395, 0.113879, 0.3238095]""",10.61826229095459,0.42627736926078796,0.08439306169748306,0.513856828212738,"""[0.7067669, 0.41860464, 0.0, 0.46058086, 0.0, 0.8757397]""",3.234116792678833,0.8966666460037231,0.31062355637550354
1,0.4835260212421417,"""[0.6633333, 0.47987852, 0.22838138, 0.4378698, 0.30244943, 0.73198843]""",3.118715524673462,0.43038758635520935,0.40115606784820557,0.7367205619812012,"""[0.9139073, 0.78378373, 0.14117646, 0.6428572, 0.7404844, 0.95176846]""",2.5445282459259033,0.6366994976997375,0.5969976782798767
2,0.6361271739006042,"""[0.75412685, 0.6795626, 0.3630893, 0.58805025, 0.61031276, 0.7925532]""",2.4277238845825195,0.4530162513256073,0.6771676540374756,0.8083140850067139,"""[0.8986487, 0.8919861, 0.41176468, 0.7246376, 0.8304499, 0.9774919]""",1.828969955444336,0.6577816009521484,0.8833718299865723
3,0.70780348777771,"""[0.8260135, 0.7697479, 0.48530805, 0.6387097, 0.6848112, 0.8273381]""",1.9778797626495361,0.4648297131061554,0.7849711179733276,0.8672055602073669,"""[0.93645483, 0.8858132, 0.696, 0.7773852, 0.8741722, 0.99676377]""",1.551998257637024,0.6375892162322998,0.9284064769744873
4,0.7609826326370239,"""[0.83676976, 0.8121212, 0.5716879, 0.7082991, 0.78208435, 0.8510259]""",1.771302580833435,0.4588790833950043,0.8708092570304871,0.8972286581993103,"""[0.9370629, 0.8982456, 0.8071429, 0.8475837, 0.89403975, 0.9870968]""",1.4070825576782227,0.6321839094161987,0.9526559114456177
5,0.8115606904029846,"""[0.8649108, 0.8405063, 0.70055455, 0.7568465, 0.83188915, 0.87018794]""",1.553533911705017,0.459234356880188,0.9083815217018127,0.9110854268074036,"""[0.96644294, 0.92134833, 0.81040895, 0.86619717, 0.91147536, 0.97734624]""",1.2495214939117432,0.6279069781303406,0.9665126800537109
6,0.8390173316001892,"""[0.8780904, 0.8755292, 0.7453744, 0.80515015, 0.8519794, 0.8768117]""",1.4104247093200684,0.45628026127815247,0.9260115623474121,0.9041570425033569,"""[0.94773525, 0.9191176, 0.7940075, 0.85910654, 0.90614885, 0.9869281]""",1.2274136543273926,0.6227545142173767,0.960739016532898
7,0.852601170539856,"""[0.8780919, 0.8710504, 0.7755835, 0.8057432, 0.89285713, 0.89063865]""",1.3484586477279663,0.45218122005462646,0.9346820712089539,0.9110854268074036,"""[0.951049, 0.90784985, 0.82733804, 0.85714287, 0.9240924, 0.9869281]""",1.201072096824646,0.6460108160972595,0.96304851770401
8,0.8719652891159058,"""[0.88677615, 0.86734694, 0.8285466, 0.8388215, 0.8964927, 0.91479814]""",1.2775124311447144,0.45739471912384033,0.944797694683075,0.9110854268074036,"""[0.95532644, 0.8927336, 0.8367348, 0.86166006, 0.92617446, 0.9837133]""",1.149659514427185,0.619225025177002,0.9595842957496643
9,0.8869942426681519,"""[0.91566265, 0.9056924, 0.82251084, 0.8554007, 0.9046793, 0.91814953]""",1.2747159004211426,0.45388415455818176,0.9557803273200989,0.918013870716095,"""[0.9448276, 0.900369, 0.8666666, 0.875, 0.92207795, 0.990228]""",1.1757590770721436,0.6440281271934509,0.9526559114456177
