epoch,acc,f1_score,loss,precision,recall,val_acc,val_f1_score,val_loss,val_precision,val_recall
0,0.1953757256269455,"""[0.15177867, 0.19452314, 0.109259255, 0.2831216, 0.2935207, 0.13062665]""",7.0242180824279785,0.17859725654125214,0.49971097707748413,0.26443418860435486,"""[0.24767803, 0.20377359, 0.14179105, 0.4013378, 0.36417907, 0.18181817]""",5.150153160095215,0.19810543954372406,0.5554272532463074
1,0.3419075012207031,"""[0.2905569, 0.33910668, 0.19373776, 0.43744677, 0.46791866, 0.29215512]""",4.449914932250977,0.23013897240161896,0.6413294672966003,0.39260968565940857,"""[0.34567901, 0.3671875, 0.22535211, 0.54430383, 0.50773996, 0.3231441]""",3.184922456741333,0.2495860904455185,0.6963048577308655
2,0.5208092331886292,"""[0.4498736, 0.543383, 0.3203372, 0.5890736, 0.66615266, 0.49676818]""",2.6104896068573,0.2725861668586731,0.7612716555595398,0.5785219669342041,"""[0.50666666, 0.6036364, 0.38345864, 0.6463415, 0.6807229, 0.62337667]""",1.9065850973129272,0.29196465015411377,0.8013857007026672
3,0.6901733875274658,"""[0.64585185, 0.7059829, 0.51001054, 0.70947534, 0.7772512, 0.74934036]""",1.4828979969024658,0.30610960721969604,0.8427745699882507,0.7205542922019958,"""[0.71328676, 0.7101449, 0.5735294, 0.7125, 0.77602524, 0.835249]""",1.199027419090271,0.32580509781837463,0.8995380997657776
4,0.8147398829460144,"""[0.8116213, 0.83892614, 0.6537283, 0.7935484, 0.86133766, 0.89802635]""",0.8596673607826233,0.3330859839916229,0.9080924987792969,0.7956120371818542,"""[0.8109966, 0.80565375, 0.6739927, 0.7677419, 0.8246754, 0.8913858]""",0.8409709334373474,0.3416701853275299,0.9307159185409546
5,0.8820809125900269,"""[0.8888889, 0.9145228, 0.7605083, 0.8453267, 0.9145228, 0.95111847]""",0.543919563293457,0.35104790329933167,0.9488439559936523,0.8418014049530029,"""[0.8805461, 0.8768116, 0.7168459, 0.78709674, 0.85620916, 0.9402985]""",0.6517587900161743,0.353819876909256,0.957274854183197
6,0.921387255191803,"""[0.9441903, 0.9498328, 0.8242075, 0.8801997, 0.9363484, 0.9832496]""",0.3758573830127716,0.35991841554641724,0.9690751433372498,0.8660507798194885,"""[0.9041096, 0.89855075, 0.7655173, 0.80921054, 0.87625414, 0.9520295]""",0.546098530292511,0.35991379618644714,0.9642032384872437
7,0.9482659101486206,"""[0.9655173, 0.9753611, 0.8779124, 0.9151973, 0.95469797, 0.9957806]""",0.28154733777046204,0.36563780903816223,0.9791907668113708,0.8799076080322266,"""[0.9178082, 0.8992805, 0.79461277, 0.81848186, 0.89795923, 0.96268654]""",0.48448309302330017,0.3659592866897583,0.9757505655288696
8,0.9644508957862854,"""[0.97940916, 0.98545766, 0.9097606, 0.9342328, 0.9754445, 0.99915326]""",0.22864672541618347,0.36934590339660645,0.9841040372848511,0.8856812715530396,"""[0.92517006, 0.9032258, 0.7959866, 0.8266667, 0.9010238, 0.9737828]""",0.4443432688713074,0.3675324618816376,0.980369508266449
9,0.9745664596557617,"""[0.9892857, 0.991453, 0.93284935, 0.9479078, 0.98385733, 1.0]""",0.19471104443073273,0.37269654870033264,0.9878612756729126,0.8949191570281982,"""[0.93559325, 0.9208634, 0.8066667, 0.8333333, 0.90721655, 0.9776119]""",0.4154204726219177,0.3695180118083954,0.982679009437561
10,0.9794797897338867,"""[0.99198574, 0.9931624, 0.9447964, 0.95547944, 0.9897785, 1.0]""",0.17278821766376495,0.37392160296440125,0.989595353603363,0.8995380997657776,"""[0.942761, 0.9247312, 0.81208056, 0.8399999, 0.90721655, 0.9812734]""",0.3945924937725067,0.3734149634838104,0.986143171787262
11,0.9852601289749146,"""[0.99466187, 0.99572283, 0.95949596, 0.96824044, 0.9923143, 1.0]""",0.15597771108150482,0.3753145933151245,0.9913294911384583,0.9053117632865906,"""[0.945946, 0.92526686, 0.8278146, 0.8484848, 0.9134948, 0.9812734]""",0.37728777527809143,0.3738521933555603,0.9872978925704956
12,0.9893063306808472,"""[0.9955556, 0.9974337, 0.97132623, 0.9767442, 0.994012, 1.0]""",0.14386318624019623,0.3780246376991272,0.9933525919914246,0.9110854268074036,"""[0.94949496, 0.9323844, 0.8333333, 0.85234904, 0.9273357, 0.9812734]""",0.3625567555427551,0.3756590485572815,0.9872978925704956
